Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,100,101.37,100.13
293.97,100,102.65,100.33
433.97,100,103.93,100.57
583.97,100.01,105.3,100.87
723.97,100.02,106.58,101.18
873.97,100.04,107.95,101.54
1014,100.08,109.24,101.9
1154,100.14,110.52,102.28
1304,100.22,111.9,102.71
1444,100.31,113.18,103.13
1594,100.44,114.56,103.61
1734,100.58,115.84,104.07
1874,100.74,117.13,104.54
2024,100.93,118.51,105.07
2164,101.13,119.79,105.58
2314,101.37,121.17,106.15
2454,101.62,122.46,106.69
2594,101.89,123.75,107.25
2744,102.19,125.12,107.86
2884,102.5,126.41,108.45
3034,102.85,127.79,109.09
3174,103.2,129.08,109.7
3314,103.56,130.37,110.33
3464,103.97,131.75,111.02
3604,104.37,133.03,111.68
3754,104.83,134.41,112.39
3894,105.26,135.7,113.07
4034,105.72,136.99,113.77
4184,106.22,138.37,114.52
4324,106.71,139.66,115.24
4474,107.25,141.04,116.02
4614,107.77,142.33,116.76
4754,108.31,143.62,117.51
4904,108.9,145.01,118.33
5044,109.46,146.3,119.07
5194,110.07,147.68,119.88
5334,110.65,148.97,120.66
5474,111.25,150.26,121.44
5624,111.9,151.64,122.29
5764,112.52,152.93,123.1
5914,113.2,154.31,123.97
6054,113.84,155.6,124.8
6194,114.5,156.89,125.63
6344,115.22,158.27,126.54
6484,115.9,159.56,127.39
6634,116.64,160.95,128.31
6774,117.34,162.24,129.18
6914,118.06,163.53,130.06
7064,118.84,164.91,131.01
7204,119.58,166.2,131.91
7354,120.38,167.59,132.87
7494,121.14,168.88,133.79
7634,121.91,170.17,134.7
7784,122.74,171.55,135.69
7924,123.53,172.85,136.63
8074,124.39,174.23,137.63
8214,125.2,175.52,138.58
8354,126.02,176.81,139.54
8504,126.91,178.2,140.56
8644,127.75,179.49,141.53
8794,128.65,180.87,142.57
8934,129.51,182.17,143.55
9074,130.37,183.46,144.54
9224,131.31,184.84,145.6
9364,132.19,186.14,146.6
9514,133.14,187.52,147.68
9654,134.04,188.81,148.68
9794,134.94,190.11,149.7
9944,135.88,191.5,150.73
10084,136.75,192.8,151.71
10234,137.7,194.18,152.76
10374,138.59,195.47,153.75
10514,139.48,196.76,154.75
10664,140.44,198.15,155.83
10804,141.35,199.41,156.84
10954,142.32,199.46,157.8
11094,143.24,199.47,158.64
11234,144.16,199.49,159.43
11384,145.16,199.5,160.25
11524,146.09,199.51,161
11674,147.08,199.52,161.77
11814,148,199.53,162.47
11954,148.91,199.54,163.16
12104,149.88,199.55,163.88
12244,150.76,199.56,164.53
12394,151.7,199.57,165.22
12534,152.57,199.58,165.85
12674,153.41,199.58,166.47
12824,154.31,199.59,167.11
12964,155.13,199.6,167.71
13114,155.99,199.61,168.33
13254,156.78,199.61,168.9
13394,157.56,199.62,169.46
13544,158.38,199.63,170.05
13684,159.12,199.63,170.59
13834,159.91,199.64,171.16
13974,160.63,199.65,171.68
14114,161.34,199.65,172.19
14264,162.09,199.66,172.72
14400,162.75,199.67,173.2
