Time (s),T_outer (C),T_inner (C),T_ave (C)
160.89,198,198.4,198.04
340.89,198,200.66,198.28
460.89,198,204.74,198.76
580.89,198,212.68,199.78
760.89,198.02,216.81,200.98
880.89,198.04,217.82,201.58
1060.9,198.11,220.27,202.48
1180.9,198.19,222.74,203.17
1300.9,198.29,224.98,203.88
1480.9,198.5,227.11,204.91
1599,198.68,224.62,205.14
1777.1,198.99,228.42,206.01
1897.1,199.24,232.39,206.86
2017.1,199.5,237.93,207.98
2197.1,199.94,239.64,209.23
2317.1,200.26,240.96,210
2497.1,200.78,248.24,211.74
2617.1,201.16,248.72,212.57
2737.1,201.56,251.83,213.57
2917.1,202.22,255.62,215.14
3037.1,202.69,254.32,215.81
3217.1,203.45,260.4,217.36
3337.1,203.99,267.07,218.89
3457.1,204.55,265.95,219.83
3637.1,205.44,266.3,221.05
3757.1,206.07,272.32,222.42
3937.1,207.05,272.36,223.83
4057.1,207.73,275.23,224.96
4177.1,208.43,276.64,226
4357.1,209.53,285.83,228.35
4477.1,210.29,285.37,229.45
4657.1,211.45,291.68,231.51
4777.1,212.25,294.61,232.92
4897.1,213.07,291.36,233.74
5077.1,214.34,294.57,235.34
5197.1,215.21,299.87,236.81
5377.1,216.56,302.17,238.71
5497.1,217.48,303.39,239.9
5617.1,218.42,303.72,240.98
5797.1,219.86,315.56,243.74
5917.1,220.83,316.87,245.23
6097.1,222.33,317.47,247.15
6217.1,223.36,317.8,248.32
6337.1,224.4,319.83,249.61
6517.1,226.01,325.46,251.89
6637.1,227.1,325.86,253.18
6817.1,228.77,330.56,255.38
6937.1,229.89,334.09,256.94
7057.1,231.01,337.15,258.48
7237.1,232.71,338.39,260.48
7357.1,233.87,342.25,262.04
7537.1,235.62,346.47,264.44
7657.1,236.81,346.54,265.76
7777.1,238.01,349.79,267.29
7957.1,239.84,352.44,269.49
8077.1,241.07,354.91,271.01
8257.1,242.95,358.64,273.35
8377.1,244.22,360.21,274.83
8497.1,245.51,362.55,276.37
8677.1,247.45,368.2,278.97
8797.1,248.77,367.89,280.38
8977.1,250.76,372.58,282.86
9097.1,252.1,374.01,284.37
9217.1,253.44,382.16,286.44
9397.1,255.44,385.86,289.16
9517.1,256.78,383.55,290.46
9697.1,258.83,386.24,292.61
9817.1,260.21,391.88,294.51
9937.1,261.6,391.64,296.02
10117,263.71,397.64,298.66
10237,265.13,402.89,300.67
10417,267.28,405.05,303.28
10537,268.73,406.93,304.98
10657,270.19,410.46,306.82
10837,272.41,410.47,309.12
10957,273.91,415.39,311.01
11137,276.18,419.59,313.76
11257,277.69,422.64,315.63
11377,279.18,420.68,317.02
11557,281.44,429.33,319.95
11677,282.96,431.76,321.81
11857,285.26,434.23,324.39
11977,286.8,438.32,326.33
12097,288.35,440.05,328.14
12277,290.7,438.32,330.28
12397,292.28,444.08,332.24
12577,294.67,442.2,334.42
12697,296.27,444.68,336.06
12817,297.88,449.67,337.98
12997,300.31,454.51,340.87
13117,301.93,455.28,342.58
13297,304.37,459,345.3
13417,306,460.17,347.01
13537,307.64,461.15,348.67
13717,310.12,465.77,351.41
13837,311.74,468.02,353.21
14017,314.13,477.45,356.56
14137,315.73,477.98,358.39
14257,317.33,477.12,359.99
14400,319.26,478,361.9
