Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,107.2,107.86,107.26
293.97,107.2,108.47,107.36
433.97,107.2,109.12,107.48
583.97,107.2,109.86,107.63
723.97,107.21,110.56,107.79
873.97,107.22,111.5,108
1014,107.24,112.39,108.22
1154,107.27,113.37,108.46
1304,107.31,114.52,108.76
1444,107.36,115.6,109.07
1594,107.42,116.96,109.43
1734,107.5,118.23,109.8
1874,107.59,119.62,110.21
2024,107.71,121.23,110.69
2164,107.84,122.74,111.16
2314,107.99,124.71,111.74
2454,108.16,126.56,112.31
2594,108.35,128.56,112.94
2744,108.58,130.87,113.67
2884,108.82,133.04,114.4
3034,109.1,135.75,115.25
3174,109.4,138.29,116.1
3314,109.72,141.07,117.02
3464,110.1,144.29,118.09
3604,110.49,147.3,119.14
3754,110.95,151.01,120.37
3894,111.42,154.48,121.56
4034,111.92,158.24,122.82
4184,112.51,162.57,124.29
4324,113.1,166.63,125.74
4474,113.78,171.53,127.41
4614,114.46,176.11,129.07
4754,115.2,181.01,130.82
4904,116.05,186.59,132.82
5044,116.9,191.8,134.79
5194,117.88,198.01,137.01
5334,118.85,203.78,139.13
5474,119.88,209.84,141.37
5624,121.05,216.61,143.92
5764,122.22,222.95,146.39
5914,123.55,230.25,149.19
6054,124.87,237.07,151.92
6194,126.25,244.15,154.7
6344,127.81,251.91,157.76
6484,129.35,259.17,160.73
6634,131.08,267.22,164.04
6774,132.77,274.75,167.24
6914,134.55,282.38,170.54
7064,136.54,290.69,174.11
7204,138.46,298.4,177.48
7354,140.61,306.64,181.2
7494,142.7,314.32,184.76
7634,144.88,321.95,188.4
7784,147.3,330.07,192.37
7924,149.61,337.68,196.01
8074,152.15,345.47,199.96
8214,154.61,352.74,203.72
8354,157.15,359.8,207.52
8504,159.94,367.14,211.62
8644,162.63,373.97,215.5
8794,165.54,380.85,219.52
8934,168.29,387.19,223.26
9074,171.11,393.27,227.03
9224,174.19,399.5,231.07
9364,177.13,405.3,234.86
9514,180.34,410.92,238.9
9654,183.39,416.16,242.67
9794,186.49,421.08,246.44
9944,189.74,426.09,250.25
10084,192.8,430.7,253.81
10234,196.13,435.08,257.58
10374,199.26,439.16,261.09
10514,202.43,442.95,264.58
10664,205.86,446.71,268.27
10804,209.08,450.2,271.7
10954,212.55,453.47,275.31
11094,215.82,456.51,278.66
11234,219.1,459.31,281.97
11384,222.63,462.08,285.46
11524,225.93,464.65,288.69
11674,229.33,467.05,292.04
11814,232.47,469.24,295.07
11954,235.61,471.28,298.06
12104,238.97,473.3,301.2
12244,242.11,475.17,304.1
12394,245.46,476.82,307.15
12534,248.59,478.35,309.96
12674,251.71,479.77,312.73
12824,255.04,481.17,315.65
12964,258.14,482.46,318.34
13114,261.44,483.65,321.17
13254,264.51,484.76,323.78
13394,267.56,485.77,326.36
13544,270.8,486.75,329.07
13684,273.71,487.67,331.57
13834,276.74,488.46,334.16
13974,279.55,489.18,336.53
14114,282.34,489.86,338.85
14264,285.31,490.55,341.29
14400,287.99,491.17,343.47
