Time (s),T_outer (C),T_inner (C),T_ave (C)
160.89,190,191.73,190.18
340.89,190,193.7,190.49
460.89,190,195.02,190.74
580.89,190.01,196.34,191.01
760.89,190.02,198.32,191.47
880.89,190.04,199.64,191.81
1060.9,190.09,201.62,192.34
1180.9,190.14,202.95,192.72
1300.9,190.2,204.27,193.11
1480.9,190.31,206.25,193.73
1600.9,190.41,207.58,194.17
1780.9,190.58,209.56,194.84
1900.9,190.71,210.89,195.31
2020.9,190.86,212.21,195.79
2200.9,191.11,214.2,196.53
2320.9,191.3,215.52,197.04
2500.9,191.61,217.51,197.83
2620.9,191.84,218.83,198.37
2740.9,192.08,220.16,198.92
2920.9,192.47,222.15,199.77
3040.9,192.75,223.47,200.35
3220.9,193.2,225.46,201.24
3340.9,193.52,226.79,201.85
3460.9,193.85,228.11,202.46
3640.9,194.38,230.1,203.41
3760.9,194.74,231.43,204.05
3940.9,195.32,233.42,205.04
4060.9,195.72,234.74,205.7
4180.9,196.13,236.08,206.36
4360.9,196.77,238.06,207.36
4480.9,197.21,239.39,208.04
4660.9,197.9,241.38,209.08
4780.9,198.36,242.71,209.79
4900.9,198.84,244.03,210.51
5080.9,199.59,246.02,211.6
5200.9,200.09,247.35,212.34
5380.9,200.88,249.34,213.46
5500.9,201.41,250.67,214.22
5620.9,201.96,252,214.99
5800.9,202.8,253.99,216.16
5920.9,203.37,255.31,216.95
6100.9,204.25,257.31,218.14
6220.9,204.85,258.63,218.95
6340.9,205.46,259.96,219.77
6520.9,206.39,261.95,221
6640.9,207.03,263.28,221.83
6820.9,208,265.27,223.09
6940.9,208.66,266.6,223.94
7060.9,209.32,267.93,224.8
7240.9,210.34,269.92,226.1
7360.9,211.03,271.25,226.97
7540.9,212.09,273.25,228.29
7660.9,212.8,274.57,229.18
7780.9,213.52,275.9,230.08
7960.9,214.62,277.9,231.43
8080.9,215.36,279.22,232.34
8260.9,216.47,281.23,233.68
8380.9,217.22,282.56,234.57
8500.9,217.96,283.89,235.47
8680.9,219.1,285.88,236.83
8800.9,219.86,287.21,237.75
8980.9,221.02,289.2,239.14
9100.9,221.81,290.53,240.07
9220.9,222.59,291.86,241.01
9400.9,223.79,293.86,242.43
9520.9,224.59,295.19,243.38
9700.9,225.81,297.18,244.82
9820.9,226.64,298.51,245.78
9940.9,227.47,299.84,246.75
10121,228.72,301.83,248.21
10241,229.57,303.16,249.2
10421,230.85,305.16,250.68
10541,231.71,306.49,251.67
10661,232.57,307.82,252.67
10841,233.89,309.81,254.18
10961,234.77,311.14,255.19
11141,236.11,313.14,256.71
11261,237,314.47,257.73
11381,237.91,315.8,258.76
11561,239.27,317.79,260.3
11681,240.19,319.12,261.34
11861,241.58,321.12,262.9
11981,242.51,322.45,263.94
12101,243.45,323.78,264.99
12281,244.85,325.79,266.55
12401,245.76,327.12,267.56
12581,247.15,329.12,269.1
12701,248.07,330.45,270.13
12821,249.01,331.78,271.16
13001,250.41,333.77,272.72
13121,251.35,335.1,273.77
13301,252.77,337.1,275.34
13421,253.72,338.43,276.4
13541,254.68,339.76,277.46
13721,256.12,341.76,279.05
13841,257.09,343.09,280.12
14021,258.55,345.08,281.73
14141,259.53,346.41,282.81
14261,260.51,347.75,283.89
14400,261.66,349.29,285.15
