Time (s),T_outer (C),T_inner (C),T_ave (C),Input Temperature (C)
0,300.0,300.0,300.0,300.0
150,300.0,304.01,300.4,304.1666666666667
300,300.0,308.11,301.01,308.3333333333333
450,300.0,312.22,301.75,312.5
600,300.0,316.34,302.6,316.6666666666667
750,300.02,320.47,303.53,320.8333333333333
900,300.05,324.59,304.53,325.0
1050,300.1,328.72,305.6,329.1666666666667
1200,300.19,332.85,306.74,333.3333333333333
1350,300.32,336.98,307.93,337.5
1500,300.49,341.11,309.18,341.6666666666667
1650,300.7,345.26,310.48,345.8333333333333
1800,300.97,349.39,311.79,350.0
1950,301.28,349.51,312.77,350.0
2100,301.65,349.54,313.59,350.0
2250,302.07,349.56,314.32,350.0
2400,302.54,349.58,315.0,350.0
2550,303.05,349.59,315.63,350.0
2700,303.6,349.61,316.24,350.0
2850,304.18,349.62,316.81,350.0
3000,304.78,349.63,317.37,350.0
3150,305.39,349.63,317.9,350.0
3300,306.01,349.64,318.42,350.0
3450,306.63,349.65,318.93,350.0
3600,307.26,349.65,319.43,350.0
3750,307.89,349.66,319.91,350.0
3900,308.51,349.67,320.38,350.0
4050,309.13,349.67,320.85,350.0
4200,309.75,349.68,321.3,350.0
4350,310.36,349.68,321.75,350.0
4500,310.96,349.69,322.18,350.0
4650,311.55,349.69,322.62,350.0
4800,312.14,349.7,323.04,350.0
4950,312.72,349.7,323.46,350.0
5100,313.29,349.71,323.87,350.0
5250,313.85,349.71,324.27,350.0
5400,314.41,349.72,324.67,350.0
5550,314.96,349.72,325.06,350.0
5700,315.49,349.73,325.44,350.0
5850,316.02,349.73,325.82,350.0
6000,316.55,349.73,326.19,350.0
6150,317.06,349.74,326.56,350.0
6300,317.57,349.74,326.92,350.0
6450,318.07,349.75,327.28,350.0
6600,318.56,349.75,327.63,350.0
6750,319.04,349.75,327.97,350.0
6900,319.52,349.76,328.31,350.0
7050,319.99,349.76,328.65,350.0
7200,320.45,349.76,328.97,350.0
7350,320.91,345.76,328.91,345.8333333333333
7500,321.35,341.66,328.62,341.6666666666667
7650,321.8,337.55,328.2,337.5
7800,322.23,333.43,327.68,333.3333333333333
7950,322.64,329.31,327.07,329.1666666666667
8100,323.03,325.19,326.37,325.0
8250,323.4,321.07,325.61,320.8333333333333
8400,323.72,316.94,324.78,316.6666666666667
8550,324.0,312.81,323.88,312.5
8700,324.23,308.68,322.93,308.3333333333333
8850,324.41,304.56,321.92,304.1666666666667
9000,324.54,300.42,320.86,300.0
9150,324.61,300.3,320.12,292.5
9300,324.62,300.27,319.56,285.0
9450,324.58,300.25,319.08,277.5
9600,324.48,300.24,318.65,270.0
9750,324.34,300.23,318.26,262.5
9900,324.15,300.22,317.9,255.0
10050,323.92,300.21,317.57,247.5
10200,323.67,300.2,317.26,240.0
10350,323.4,300.2,316.96,232.5
10500,323.11,300.19,316.67,225.0
10650,322.82,300.19,316.39,217.5
10800,322.51,300.19,316.12,210.0
10950,322.2,300.18,315.87,202.5
11100,321.89,300.18,315.61,195.0
11250,321.57,300.17,315.37,187.5
11400,321.26,300.17,315.12,180.0
11550,320.95,300.17,314.89,172.5
11700,320.64,300.17,314.66,165.0
11850,320.33,300.16,314.43,157.5
12000,320.02,300.16,314.21,150.0
12150,319.72,300.16,313.99,142.5
12300,319.42,300.16,313.77,135.0
12450,319.13,300.15,313.56,127.5
12600,318.84,300.15,313.35,120.0
12750,318.55,300.15,313.15,112.5
12900,318.27,300.15,312.95,105.0
13050,317.99,300.14,312.75,97.5
13200,317.72,300.14,312.55,90.0
13350,317.45,300.14,312.36,82.5
13500,317.18,300.14,312.17,75.0
13650,316.92,300.14,311.99,67.5
13800,316.66,300.13,311.8,60.0
13950,316.41,300.13,311.62,52.5
14100,316.16,300.13,311.44,45.0
14250,315.91,300.13,311.27,37.5
14400,315.67,300.13,311.1,30.0
