Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0,250.0,250.0,250.0,250.0
150,200.0,256.15,210.86,256.1722222222222
300,200.0,259.16,213.51,259.17555555555555
450,200.04,262.16,215.7,262.1788888888889
600,200.17,264.25,217.56,264.27
750,200.45,265.89,219.18,265.905
900,200.87,267.52,220.65,267.54
1050,201.43,269.03,222.03,269.049
1200,202.11,270.29,223.33,270.306
1350,202.88,271.55,224.58,271.563
1500,203.72,272.81,225.8,272.82
1650,204.62,273.86,226.97,273.879
1800,205.56,274.92,228.12,274.938
1950,206.55,275.98,229.25,275.997
2100,207.55,276.93,230.35,276.94300000000004
2250,208.58,277.82,231.42,277.8325
2400,209.63,278.71,232.48,278.722
2550,210.68,279.6,233.53,279.6115
2700,211.75,280.49,234.58,280.501
2850,212.81,281.38,235.62,281.3905
3000,213.89,282.27,236.65,282.28
3150,214.96,283.02,237.65,283.02849999999995
3300,216.04,283.76,238.65,283.777
3450,217.11,284.51,239.63,284.52549999999997
3600,218.19,285.26,240.61,285.274
3750,219.26,286.01,241.59,286.0225
3900,220.33,286.76,242.56,286.77099999999996
4050,221.39,287.48,243.52,287.49
4200,222.45,288.14,244.46,288.15
4350,223.51,288.8,245.4,288.81
4500,224.56,289.46,246.33,289.47
4650,225.61,290.12,247.25,290.13
4800,226.65,290.78,248.17,290.79
4950,227.69,291.44,249.08,291.45
5100,228.72,292.05,249.98,292.067
5250,229.75,292.65,250.87,292.6625
5400,230.77,293.25,251.76,293.258
5550,231.78,293.84,252.63,293.8535
5700,232.79,294.44,253.51,294.449
5850,233.8,295.03,254.37,295.04449999999997
6000,234.79,295.63,255.23,295.64
6150,235.78,296.18,256.08,296.18899999999996
6300,236.77,296.73,256.93,296.738
6450,237.74,297.28,257.76,297.287
6600,238.71,297.82,258.59,297.836
6750,239.68,298.37,259.42,298.385
6900,240.64,298.92,260.24,298.934
7050,241.59,299.46,261.05,299.475
7200,242.5,299.99,261.83,300.0
7350,243.39,297.94,262.18,297.945
7500,244.27,296.0,262.42,296.006
7650,245.15,294.12,262.59,294.125
7800,246.02,292.24,262.7,292.244
7950,246.87,290.36,262.76,290.363
8100,247.71,288.48,262.77,288.482
8250,248.53,286.6,262.75,286.601
8400,249.32,284.72,262.68,284.72
8550,250.07,283.12,262.63,283.12850000000003
8700,250.8,281.53,262.56,281.53700000000003
8850,251.49,279.94,262.47,279.94550000000004
9000,252.14,278.35,262.35,278.35400000000004
9150,252.76,276.76,262.2,276.76250000000005
9300,253.34,275.17,262.04,275.171
9450,253.88,273.67,261.86,273.676
9600,254.39,272.37,261.7,272.374
9750,254.86,271.07,261.53,271.072
9900,255.3,269.77,261.35,269.77
10050,255.71,268.47,261.14,268.468
10200,256.09,267.17,260.93,267.166
10350,256.43,265.86,260.69,265.86400000000003
10500,256.74,264.76,260.47,264.755
10650,257.03,263.74,260.26,263.7425
10800,257.29,262.73,260.05,262.73
10950,257.52,261.72,259.82,261.71750000000003
11100,257.72,260.71,259.58,260.705
11250,257.9,259.69,259.34,259.6925
11400,258.06,258.68,259.08,258.68
11550,258.2,257.96,258.86,257.957
11700,258.31,257.24,258.64,257.234
11850,258.41,256.51,258.42,256.511
12000,258.48,255.79,258.19,255.788
12150,258.54,255.07,257.96,255.065
12300,258.58,254.34,257.72,254.342
12450,258.6,253.69,257.48,253.691
12600,258.61,253.19,257.27,253.184
12750,258.61,252.68,257.05,252.677
12900,258.59,252.17,256.84,252.17
13050,258.56,251.81,256.65,251.81
13200,258.51,251.45,256.46,251.45
13350,258.46,251.09,256.27,251.09
13500,258.4,250.83,256.1,250.824
13650,258.33,250.61,255.94,250.60500000000002
13800,258.25,250.39,255.78,250.386
13950,258.16,250.22,255.64,250.21333333333334
14100,258.07,250.14,255.51,250.13333333333333
14250,257.97,250.06,255.39,250.05333333333334
14400,257.87,250.0,255.27,250.0
