Time (s),T_outer (C),T_inner (C),T_ave (C)
153.9,200,202.06,200.18
293.9,200,203.97,200.46
433.9,200,205.89,200.8
583.9,200,207.95,201.22
723.9,200.01,209.87,201.65
873.9,200.03,211.93,202.15
1013.9,200.07,213.86,202.65
1153.9,200.12,215.78,203.19
1303.9,200.2,217.85,203.79
1443.9,200.3,219.78,204.38
1593.9,200.43,221.84,205.04
1733.9,200.58,223.77,205.68
1873.9,200.76,225.7,206.34
2023.9,200.97,227.76,207.08
2163.9,201.21,229.69,207.79
2313.9,201.48,231.76,208.57
2453.9,201.77,233.69,209.32
2593.9,202.08,235.62,210.09
2743.9,202.45,237.69,210.94
2883.9,202.81,239.62,211.75
3033.9,203.23,241.69,212.65
3173.9,203.65,243.62,213.5
3313.9,204.1,245.56,214.35
3463.9,204.6,247.63,215.27
3603.9,205.09,249.56,216.16
3753.9,205.64,251.63,217.13
3893.9,206.17,253.56,218.05
4033.9,206.73,255.49,218.99
4183.9,207.35,257.57,220.02
4323.9,207.95,259.5,220.99
4473.9,208.62,261.57,222.05
4613.9,209.26,263.5,223.06
4753.9,209.93,265.44,224.08
4903.9,210.66,267.51,225.2
5043.9,211.37,269.44,226.25
5193.9,212.15,271.51,227.4
5333.9,212.9,273.45,228.48
5473.9,213.66,275.38,229.58
5623.9,214.5,277.46,230.77
5763.9,215.31,279.39,231.89
5913.9,216.19,281.46,233.12
6053.9,217.04,283.4,234.27
6193.9,217.9,285.33,235.43
6343.9,218.84,287.41,236.7
6483.9,219.74,289.34,237.89
6633.9,220.7,291.43,239.14
6773.9,221.61,293.37,240.31
6913.9,222.54,295.3,241.51
7063.9,223.54,297.38,242.8
7203.9,224.5,299.27,244.01
7353.9,225.54,299.33,245.16
7493.9,226.52,299.35,246.14
7633.9,227.51,299.37,247.07
7783.9,228.59,299.38,248.02
7923.9,229.61,299.4,248.88
8073.9,230.71,299.41,249.78
8213.9,231.73,299.42,250.59
8353.9,232.75,299.43,251.38
8503.9,233.84,299.44,252.22
8643.9,234.85,299.45,252.98
8793.9,235.92,299.46,253.77
8933.9,236.9,299.47,254.51
9073.9,237.88,299.48,255.22
9223.9,238.91,299.49,255.98
9363.9,239.86,299.5,256.67
9513.9,240.86,299.5,257.4
9653.9,241.78,299.51,258.07
9793.9,242.69,299.52,258.73
9943.9,243.65,299.53,259.42
10084,244.53,299.54,260.06
10234,245.46,299.54,260.73
10374,246.31,299.55,261.34
10514,247.15,299.56,261.95
10664,248.04,299.57,262.59
10804,248.85,299.57,263.17
10954,249.71,299.58,263.79
11094,250.49,299.59,264.36
11234,251.27,299.59,264.92
11384,252.09,299.6,265.51
11524,252.84,299.61,266.05
11674,253.63,299.61,266.61
11814,254.35,299.62,267.14
11954,255.07,299.62,267.65
12104,255.82,299.63,268.19
12244,256.51,299.64,268.69
12394,257.24,299.64,269.22
12534,257.91,299.65,269.7
12674,258.57,299.65,270.17
12824,259.27,299.66,270.67
12964,259.9,299.66,271.13
13114,260.58,299.67,271.62
13254,261.19,299.68,272.06
13394,261.8,299.68,272.5
13544,262.44,299.69,272.96
13684,263.03,299.69,273.38
13834,263.65,299.7,273.83
13974,264.22,299.7,274.24
14114,264.78,299.71,274.64
14264,265.37,299.71,275.07
14400,265.87,299.72,275.44
