Time (s),T_outer (C),T_inner (C),T_ave (C)
160.99,239,244.04,239.51
340.99,239,246.34,240.02
460.99,239.01,248.77,240.46
580.99,239.01,251.25,240.97
760.99,239.04,252.82,241.57
880.99,239.08,255.43,242.11
1061,239.16,259.08,243.04
1181,239.23,259.93,243.53
1301,239.33,261.43,244.05
1481,239.5,266.08,245.12
1601,239.65,267.58,245.76
1781,239.9,270.27,246.75
1901,240.1,272.19,247.43
2021,240.32,274.06,248.13
2201,240.7,278.58,249.42
2321,240.97,278.97,250.07
2501,241.43,282.83,251.28
2621,241.76,285.63,252.17
2741,242.12,286.29,252.89
2921,242.69,290.3,254.2
3041,243.09,293.11,255.15
3221,243.74,295.61,256.48
3341,244.2,297.35,257.36
3461,244.68,298.89,258.23
3641,245.43,302.59,259.68
3761,245.97,304.67,260.65
3941,246.8,308.53,262.23
4061,247.38,310.15,263.2
4181,247.98,313,264.29
4361,248.91,315.54,265.84
4481,249.56,317.5,266.88
4661,250.57,321.43,268.57
4781,251.27,324.03,269.74
4901,251.99,325.86,270.87
5081,253.1,327.32,272.41
5201,253.86,328.95,273.43
5381,255.02,333.48,275.19
5501,255.81,335.72,276.36
5621,256.62,336.67,277.43
5801,257.85,341.05,279.27
5921,258.7,343.06,280.47
6101,259.99,346.39,282.32
6221,260.87,347.94,283.49
6341,261.76,349.97,284.7
6521,263.13,352.47,286.5
6641,264.06,353.8,287.65
6821,265.49,356.9,289.48
6941,266.45,359.61,290.78
7061,267.43,363.3,292.22
7241,268.93,364.84,294.07
7361,269.94,368.45,295.51
7541,271.48,371.73,297.59
7661,272.51,373.27,298.89
7781,273.54,373.4,300.02
7961,275.11,378.83,302.14
8081,276.18,379.93,303.42
8261,277.79,382.54,305.33
8381,278.89,386.04,306.81
8501,279.99,386.64,308.09
8681,281.66,389.6,310.1
8801,282.79,392.07,311.5
8981,284.5,395.27,313.63
9101,285.66,396.49,314.95
9221,286.83,399.33,316.4
9401,288.59,403.3,318.63
9521,289.78,405.83,320.15
9701,291.59,406.93,322.16
9821,292.81,409.22,323.6
9941,294.04,411.92,325.1
10121,295.9,414.98,327.33
10241,297.16,416.55,328.77
10421,299.01,421.21,331.11
10541,300.25,421.93,332.47
10661,301.5,423.54,333.85
10841,303.38,427.28,336.08
10961,304.64,429.09,337.53
11141,306.56,433.08,339.86
11261,307.84,434.17,341.28
11381,309.14,437.19,342.84
11561,311.09,440.05,345.12
11681,312.41,441.72,346.61
11861,314.39,445.03,348.91
11981,315.73,447.23,350.46
12101,317.07,450.08,352.08
12281,319.11,451.52,354.28
12401,320.47,453.89,355.83
12581,322.53,458.18,358.3
12701,323.92,459.79,359.87
12821,325.31,460.81,361.36
13001,327.39,465.06,363.81
13121,328.76,467.14,365.41
13301,330.81,470.28,367.77
13421,332.19,473.54,369.48
13541,333.58,475.32,371.1
13721,335.67,477.79,373.47
13841,337.08,478.99,374.98
14021,339.2,483.01,377.47
14141,340.63,484.15,378.99
14261,342.07,487.98,380.73
14400,343.74,488.13,382.47
