Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,100,101.65,100.16
293.97,100,103.18,100.39
433.97,100,104.71,100.68
583.97,100.01,106.36,101.04
723.97,100.02,107.9,101.41
873.97,100.05,109.55,101.85
1014,100.1,111.09,102.28
1154,100.16,112.63,102.74
1304,100.26,114.28,103.25
1444,100.38,115.82,103.76
1594,100.53,117.47,104.33
1734,100.69,119.01,104.88
1874,100.88,120.94,105.48
2024,101.12,123.41,106.22
2164,101.36,125.72,106.97
2314,101.65,128.2,107.81
2454,101.95,130.51,108.64
2594,102.28,132.83,109.5
2744,102.67,135.31,110.46
2884,103.06,137.62,111.39
3034,103.53,140.1,112.41
3174,103.99,142.42,113.4
3314,104.5,144.73,114.41
3464,105.07,147.22,115.49
3604,105.63,149.57,116.53
3754,106.28,153.67,117.83
3894,106.91,157.51,119.16
4034,107.57,161.37,120.56
4184,108.32,165.5,122.14
4324,109.05,169.35,123.68
4474,109.89,173.49,125.38
4614,110.72,177.35,127.03
4754,111.59,181.21,128.72
4904,112.59,185.34,130.58
5044,113.57,189.2,132.36
5194,114.66,193.36,134.24
5334,115.73,197.22,136.05
5474,116.84,203.02,138.03
5624,118.09,211.25,140.57
5764,119.3,218.94,143.14
5914,120.65,227.2,146.07
6054,121.97,234.94,148.92
6194,123.34,242.64,151.79
6344,124.89,250.91,155.01
6484,126.42,258.62,158.13
6634,128.15,266.89,161.58
6774,129.86,274.61,164.89
6914,131.65,282.37,168.22
7064,133.66,290.64,171.83
7204,135.62,298.37,175.3
7354,137.81,306.64,179.11
7494,139.96,314.37,182.75
7634,142.19,322.1,186.47
7784,144.63,330.42,190.38
7924,146.99,338.15,194.12
8074,149.6,346.43,198.21
8214,152.12,354.16,202.11
8354,154.72,361.89,206.08
8504,157.57,370.23,210.35
8644,160.26,377.96,214.29
8794,163.22,386.24,218.6
8934,166.05,393.97,222.71
9074,168.96,399.77,226.76
9224,172.14,403.97,230.83
9364,175.19,407.87,234.55
9514,178.53,412.04,238.47
9654,181.62,416,241.97
9794,184.73,419.89,245.41
9944,188.1,424.05,249.1
10084,191.27,427.93,252.54
10234,194.7,432.1,256.23
10374,197.93,435.98,259.68
10514,201.17,439.86,263.13
10664,204.66,444.03,266.83
10804,207.94,447.88,270.29
10954,211.46,450.43,273.87
11094,214.76,452.78,277.13
11234,218.07,455.13,280.36
11384,221.57,457.67,283.77
11524,224.71,460.03,286.83
11674,228.07,462.55,290.06
11814,231.2,464.89,293.06
11954,234.34,467.23,296.04
12104,237.7,469.74,299.21
12244,240.82,472.08,302.16
12394,244.17,474.59,305.3
12534,247.28,476.93,308.23
12674,250.39,478.88,311.12
12824,253.71,480.57,314.14
12964,256.8,482.14,316.92
13114,260.1,483.82,319.87
13254,263.17,485.39,322.59
13394,266.21,486.96,325.29
13544,269.3,488.66,328.15
13684,272.16,490.24,330.76
13834,275.22,491.92,333.51
13974,278.06,493.49,336.06
14114,280.89,495.05,338.59
14264,283.9,496.73,341.28
14400,286.63,498.25,343.7
