Time (s),T_outer (C),T_inner (C),T_ave (C)
160.92,215,216.41,215.14
340.92,215,218.01,215.39
460.92,215,219.08,215.59
580.92,215.01,220.15,215.81
760.92,215.02,221.76,216.18
880.92,215.03,222.83,216.45
1060.9,215.07,224.45,216.88
1180.9,215.1,225.52,217.18
1300.9,215.15,226.6,217.49
1480.9,215.23,228.21,217.99
1600.9,215.3,229.28,218.34
1780.9,215.43,230.9,218.88
1900.9,215.53,231.97,219.25
2020.9,215.65,233.05,219.63
2200.9,215.84,234.66,220.23
2320.9,215.98,235.74,220.63
2500.9,216.22,237.35,221.27
2620.9,216.4,238.43,221.7
2740.9,216.59,239.51,222.14
2920.9,216.89,241.12,222.82
3040.9,217.11,242.2,223.28
3220.9,217.46,243.81,223.99
3340.9,217.7,244.89,224.48
3460.9,217.96,245.97,224.97
3640.9,218.37,247.58,225.73
3760.9,218.66,248.66,226.24
3940.9,219.11,250.28,227.03
4060.9,219.42,251.35,227.56
4180.9,219.74,252.43,228.1
4360.9,220.25,254.05,228.93
4480.9,220.6,255.13,229.48
4660.9,221.14,256.74,230.34
4780.9,221.52,257.82,230.92
4900.9,221.9,258.9,231.5
5080.9,222.5,260.52,232.38
5200.9,222.9,261.6,232.96
5380.9,223.53,263.22,233.85
5500.9,223.95,264.3,234.45
5620.9,224.39,265.38,235.07
5800.9,225.05,266.99,236
5920.9,225.51,268.07,236.62
6100.9,226.2,269.69,237.58
6220.9,226.67,270.77,238.22
6340.9,227.16,271.85,238.87
6520.9,227.89,273.47,239.86
6640.9,228.39,274.54,240.52
6820.9,229.16,276.16,241.53
6940.9,229.68,277.24,242.21
7060.9,230.21,278.32,242.89
7240.9,231.01,279.94,243.93
7360.9,231.56,281.02,244.63
7540.9,232.39,282.64,245.69
7660.9,232.95,283.72,246.4
7780.9,233.52,284.8,247.11
7960.9,234.39,286.42,248.2
8080.9,234.98,287.5,248.93
8260.9,235.88,289.12,250.03
8380.9,236.48,290.2,250.77
8500.9,237.09,291.28,251.51
8680.9,238.02,292.9,252.64
8800.9,238.65,293.98,253.4
8980.9,239.6,295.6,254.54
9100.9,240.24,296.68,255.31
9220.9,240.89,297.76,256.08
9400.9,241.87,299.38,257.24
9520.9,242.53,300.46,258.02
9700.9,243.54,302.08,259.2
9820.9,244.22,303.16,260
9940.9,244.9,304.24,260.79
10121,245.91,305.87,261.96
10241,246.59,306.95,262.74
10421,247.61,308.57,263.91
10541,248.29,309.65,264.7
10661,248.98,310.73,265.49
10841,250.03,312.35,266.69
10961,250.73,313.43,267.49
11141,251.78,315.05,268.71
11261,252.5,316.13,269.52
11381,253.21,317.22,270.34
11561,254.29,318.84,271.57
11681,255.02,319.92,272.4
11861,256.12,321.54,273.65
11981,256.86,322.62,274.48
12101,257.6,323.7,275.32
12281,258.72,325.32,276.58
12401,259.48,326.4,277.43
12581,260.61,328.02,278.7
12701,261.38,329.1,279.56
12821,262.15,330.19,280.41
13001,263.31,331.81,281.7
13121,264.08,332.89,282.57
13301,265.26,334.51,283.87
13421,266.05,335.59,284.74
13541,266.84,336.67,285.62
13721,268.03,338.29,286.93
13841,268.83,339.38,287.81
14021,270.04,341,289.14
14141,270.85,342.08,290.03
14261,271.67,343.16,290.92
14400,272.61,344.41,291.95
