Time (s),T_outer (C),T_inner (C),T_ave (C)
153.99,300,301.37,300.12
293.99,300,302.65,300.29
433.99,300,303.93,300.51
583.99,300,305.3,300.77
723.99,300,306.58,301.04
873.99,300.01,307.96,301.36
1014,300.03,309.24,301.68
1154,300.05,310.53,302.02
1304,300.09,311.9,302.4
1444,300.14,313.19,302.78
1594,300.21,314.57,303.19
1734,300.28,315.85,303.6
1874,300.37,317.14,304.02
2024,300.49,318.52,304.48
2164,300.61,319.8,304.93
2314,300.76,321.18,305.42
2454,300.92,322.47,305.9
2594,301.09,323.76,306.38
2744,301.29,325.14,306.92
2884,301.49,326.42,307.43
3034,301.73,327.8,307.99
3174,301.96,329.09,308.53
3314,302.21,330.38,309.07
3464,302.5,331.76,309.67
3604,302.78,333.05,310.24
3754,303.1,334.43,310.86
3894,303.41,335.72,311.45
4034,303.74,337,312.05
4184,304.11,338.38,312.71
4324,304.46,339.67,313.33
4474,304.86,341.05,314.01
4614,305.24,342.34,314.65
4754,305.64,343.63,315.3
4904,306.08,345.02,316.01
5044,306.5,346.31,316.66
5194,306.96,347.69,317.37
5334,307.41,348.98,318.04
5474,307.86,350.27,318.72
5624,308.36,351.65,319.46
5764,308.84,352.94,320.17
5914,309.37,354.32,320.93
6054,309.87,355.61,321.65
6194,310.38,356.9,322.38
6344,310.94,358.29,323.17
6484,311.47,359.58,323.92
6634,312.06,360.96,324.73
6774,312.61,362.25,325.49
6914,313.18,363.54,326.26
7064,313.8,364.92,327.09
7204,314.38,366.21,327.88
7354,315.02,367.6,328.73
7494,315.63,368.89,329.53
7634,316.25,370.18,330.34
7784,316.92,371.56,331.22
7924,317.56,372.85,332.04
8074,318.25,374.23,332.93
8214,318.91,375.53,333.76
8354,319.57,376.82,334.61
8504,320.3,378.2,335.52
8644,320.98,379.49,336.37
8794,321.72,380.88,337.3
8934,322.42,382.17,338.17
9074,323.14,383.46,339.04
9224,323.91,384.84,339.99
9364,324.63,386.13,340.88
9514,325.42,387.52,341.83
9654,326.17,388.81,342.73
9794,326.92,390.1,343.64
9944,327.71,391.5,344.57
10084,328.46,392.79,345.45
10234,329.27,394.18,346.41
10374,330.03,395.47,347.31
10514,330.79,396.76,348.21
10664,331.62,398.15,349.19
10804,332.4,399.41,350.1
10954,333.24,399.45,350.98
11094,334.03,399.46,351.74
11234,334.82,399.48,352.47
11384,335.68,399.49,353.22
11524,336.49,399.5,353.9
11674,337.36,399.51,354.61
11814,338.17,399.52,355.25
11954,338.98,399.52,355.89
12104,339.84,399.53,356.55
12244,340.65,399.54,357.16
12394,341.5,399.55,357.8
12534,342.29,399.55,358.39
12674,343.07,399.56,358.97
12824,343.89,399.57,359.58
12964,344.66,399.57,360.13
13114,345.47,399.58,360.72
13254,346.21,399.58,361.27
13394,346.95,399.59,361.8
13544,347.72,399.6,362.37
13684,348.44,399.6,362.88
13834,349.2,399.61,363.43
13974,349.89,399.61,363.94
14114,350.58,399.62,364.43
14264,351.31,399.62,364.96
14400,351.96,399.63,365.42
