Time (s),T_outer (C),T_inner (C),T_ave (C)
161,309.93,310.08,309.99
305.06,310,315.91,310.56
477.48,310,313.6,310.58
593.41,310,316.66,310.94
728.69,310.01,312.61,310.74
890,310.02,321.18,311.63
1063.5,310.05,318.08,311.72
1163.7,310.07,319.28,311.92
1343.7,310.12,321.9,312.45
1463.7,310.16,321.22,312.62
1643.7,310.24,322.22,312.88
1756,310.31,326.07,313.42
1876,310.38,327.89,313.92
2066.5,310.52,327.95,314.35
2186.5,310.62,332.45,315.06
2306.5,310.73,332.39,315.49
2467.2,310.89,328.41,315.53
2610.2,311.05,331.36,315.96
2790.2,311.29,337.18,317.11
2885,311.42,333.38,317.14
3078.7,311.71,336.47,317.71
3198.7,311.91,341.47,318.54
3318.7,312.11,342.67,319.16
3467.7,312.38,338.17,319.29
3639.9,312.72,347.12,320.54
3759.9,312.96,349.26,321.32
3939.9,313.36,349.38,322.16
4059.9,313.63,348.19,322.53
4179.9,313.93,343.61,322.49
4359.9,314.39,347.78,323.14
4479.9,314.72,355.37,324.23
4659.9,315.22,355.6,325.23
4779.9,315.56,353.95,325.58
4899.9,315.91,353.65,325.95
5079.9,316.46,355.47,326.67
5199.9,316.83,358.78,327.42
5379.9,317.41,357.28,328.02
5499.9,317.8,358.78,328.56
5619.9,318.21,361.31,329.25
5799.9,318.82,363.41,330.21
5919.9,319.23,366.66,331.04
6099.9,319.87,366.88,332.03
6218.4,320.3,364.59,332.32
6338.4,320.74,366.66,332.91
6518.4,321.42,367.67,333.73
6638.4,321.89,369.48,334.39
6818.4,322.6,372.37,335.41
6938.4,323.07,377.53,336.5
7058.4,323.56,377.36,337.24
7238.4,324.3,377.26,338.22
7358.4,324.81,373.23,338.41
7538.4,325.58,376.57,339.33
7658.4,326.11,378.77,340.04
7778.4,326.64,385.35,341.22
7958.4,327.45,379.8,341.78
8078.4,328,383.45,342.59
8258.4,328.83,384.3,343.6
8378.4,329.4,385.18,344.27
8498.4,329.96,386.39,344.97
8678.4,330.82,391.88,346.5
8797.1,331.4,387.43,346.83
8975.7,332.28,390.47,347.91
9095.7,332.87,389.54,348.42
9275.7,333.78,394.06,349.66
9395.7,334.39,396.38,350.56
9515.7,334.99,395.59,351.17
9695.7,335.89,402.12,352.77
9815.7,336.5,402.11,353.54
9995.7,337.43,402.86,354.77
10097,337.95,399.65,355.03
10277,338.91,405.67,356.38
10397,339.55,408.39,357.37
10517,340.2,408.31,358.15
10697,341.19,407.93,359.14
10817,341.86,409.67,359.94
10997,342.87,410.85,361.12
11117,343.55,409.12,361.64
11237,344.24,408.88,362.19
11417,345.28,415.67,363.77
11537,345.98,413.7,364.36
11717,347.03,421.05,366.06
11837,347.73,423.01,367.11
11957,348.44,422.33,367.92
12137,349.51,418.28,368.58
12257,350.23,421.34,369.44
12437,351.32,421.82,370.56
12557,352.06,422.03,371.22
12677,352.79,427.05,372.31
12857,353.91,431.45,374
12977,354.65,430.52,374.8
13157,355.77,428.55,375.67
13277,356.53,431.6,376.62
13397,357.29,432.36,377.46
13577,358.43,434.41,378.75
13697,359.2,437.06,379.77
13877,360.36,437.21,381
13997,361.14,438.25,381.85
14117,361.92,438.96,382.68
14297,363.07,445.51,384.46
14400,363.73,446.67,385.36
