Time (s),T_outer (C),T_inner (C),T_ave (C)
153.97,100,104.6,100.44
293.97,100,106.9,100.93
433.97,100,108.42,101.37
583.97,100.02,109.78,101.81
723.97,100.05,111.03,102.23
873.97,100.12,112,102.64
1014,100.2,112.9,103.03
1154,100.31,113.79,103.41
1304,100.46,114.75,103.83
1444,100.62,115.64,104.23
1594,100.81,116.38,104.64
1734,101.01,117.07,105.02
1874,101.23,117.76,105.4
2024,101.48,118.49,105.81
2164,101.72,119.18,106.19
2314,102,119.8,106.6
2454,102.27,120.38,106.98
2594,102.55,120.96,107.37
2744,102.85,121.59,107.78
2884,103.15,122.17,108.16
3034,103.48,122.72,108.57
3174,103.79,123.23,108.96
3314,104.11,123.74,109.34
3464,104.45,124.29,109.75
3604,104.78,124.8,110.14
3754,105.14,125.3,110.55
3894,105.48,125.76,110.93
4034,105.82,126.22,111.32
4184,106.19,126.72,111.73
4324,106.54,127.18,112.12
4474,106.92,127.64,112.53
4614,107.28,128.07,112.91
4754,107.64,128.49,113.29
4904,108.02,128.95,113.7
5044,108.38,129.37,114.09
5194,108.77,129.8,114.49
5334,109.14,130.19,114.87
5474,109.51,130.59,115.25
5624,109.9,131.02,115.66
5764,110.27,131.41,116.04
5914,110.67,131.81,116.45
6054,111.04,132.19,116.82
6194,111.42,132.56,117.2
6344,111.82,132.96,117.6
6484,112.19,133.33,117.98
6634,112.59,133.71,118.38
6774,112.97,134.07,118.75
6914,113.34,134.42,119.12
7064,113.74,134.8,119.52
7204,114.12,135.15,119.89
7354,114.52,135.51,120.28
7494,114.89,135.85,120.65
7634,115.26,136.18,121.01
7784,115.67,136.54,121.4
7924,116.04,136.88,121.76
8074,116.44,137.22,122.15
8214,116.81,137.54,122.51
8354,117.18,137.86,122.87
8504,117.58,138.21,123.25
8644,117.95,138.53,123.61
8794,118.34,138.86,123.99
8934,118.71,139.17,124.34
9074,119.08,139.48,124.7
9224,119.47,139.8,125.07
9364,119.84,140.11,125.42
9514,120.23,140.43,125.8
9654,120.59,140.73,126.14
9794,120.96,141.02,126.49
9944,121.34,141.34,126.86
10084,121.7,141.64,127.2
10234,122.09,141.94,127.56
10374,122.45,142.23,127.9
10514,122.8,142.52,128.24
10664,123.19,142.82,128.6
10804,123.54,143.11,128.94
10954,123.92,143.41,129.3
11094,124.27,143.68,129.63
11234,124.62,143.96,129.96
11384,125,144.26,130.31
11524,125.34,144.53,130.64
11674,125.72,144.82,130.99
11814,126.06,145.09,131.32
11954,126.4,145.36,131.63
12104,126.75,145.65,131.96
12244,127.08,145.92,132.26
12394,127.42,146.2,132.59
12534,127.75,146.46,132.89
12674,128.07,146.72,133.2
12824,128.41,146.99,133.52
12964,128.73,147.25,133.82
13114,129.07,147.53,134.15
13254,129.39,147.78,134.44
13394,129.7,148.03,134.74
13544,130.04,148.3,135.06
13684,130.36,148.56,135.36
13834,130.69,148.82,135.67
13974,131,149.07,135.97
14114,131.31,149.32,136.26
14264,131.64,149.58,136.57
14400,131.94,149.82,136.86
