Time (s),T_outer (C),T_inner (C),T_ave (C)
160.93,170,171.08,170.11
340.93,170,172.31,170.31
460.93,170,173.14,170.47
580.93,170.01,173.96,170.64
760.93,170.02,175.2,170.93
880.93,170.03,176.03,171.15
1060.9,170.06,177.27,171.48
1180.9,170.1,178.09,171.72
1300.9,170.14,178.92,171.97
1480.9,170.21,180.16,172.37
1600.9,170.28,180.99,172.64
1780.9,170.39,182.23,173.07
1900.9,170.48,183.05,173.36
2020.9,170.58,183.88,173.67
2200.9,170.74,185.12,174.14
2320.9,170.87,185.95,174.46
2500.9,171.07,187.19,174.96
2620.9,171.22,188.02,175.31
2740.9,171.38,188.85,175.66
2920.9,171.64,190.09,176.2
3040.9,171.82,190.92,176.57
3220.9,172.12,192.16,177.13
3340.9,172.32,192.99,177.52
3460.9,172.54,193.82,177.91
3640.9,172.88,195.06,178.51
3760.9,173.12,195.89,178.92
3940.9,173.5,197.13,179.54
4060.9,173.76,197.96,179.97
4180.9,174.03,198.79,180.4
4360.9,174.45,200.04,181.06
4480.9,174.74,200.87,181.5
4660.9,175.19,202.11,182.18
4780.9,175.5,202.94,182.64
4900.9,175.81,203.77,183.1
5080.9,176.3,205.01,183.81
5200.9,176.64,205.84,184.29
5380.9,177.16,207.09,185.02
5500.9,177.51,207.92,185.51
5620.9,177.88,208.74,186
5800.9,178.43,209.99,186.76
5920.9,178.81,210.82,187.27
6100.9,179.39,212.06,188.04
6220.9,179.79,212.89,188.56
6340.9,180.19,213.72,189.09
6520.9,180.81,214.97,189.88
6640.9,181.22,215.81,190.4
6820.9,181.84,217.05,191.18
6940.9,182.27,217.88,191.71
7060.9,182.69,218.71,192.25
7240.9,183.34,219.95,193.06
7360.9,183.78,220.79,193.61
7540.9,184.45,222.03,194.43
7660.9,184.91,222.86,194.99
7780.9,185.36,223.69,195.56
7960.9,186.06,224.94,196.41
8080.9,186.53,225.77,196.98
8260.9,187.25,227.01,197.84
8380.9,187.73,227.84,198.43
8500.9,188.22,228.67,199.01
8680.9,188.96,229.92,199.9
8800.9,189.46,230.75,200.49
8980.9,190.22,232,201.39
9100.9,190.73,232.83,201.99
9220.9,191.24,233.66,202.6
9400.9,192.03,234.91,203.51
9520.9,192.56,235.74,204.13
9700.9,193.35,236.98,205.05
9820.9,193.89,237.81,205.68
9940.9,194.44,238.65,206.3
10121,195.26,239.89,207.24
10241,195.81,240.72,207.88
10421,196.65,241.97,208.83
10541,197.21,242.8,209.47
10661,197.78,243.63,210.11
10841,198.63,244.88,211.08
10961,199.21,245.71,211.73
11141,200.08,246.96,212.71
11261,200.67,247.79,213.36
11381,201.26,248.62,214.02
11561,202.15,249.87,215.01
11681,202.74,250.7,215.68
11861,203.65,251.95,216.68
11981,204.25,252.78,217.35
12101,204.86,253.61,218.02
12281,205.78,254.86,219.04
12401,206.4,255.69,219.72
12581,207.33,256.94,220.74
12701,207.95,257.77,221.42
12821,208.58,258.6,222.11
13001,209.53,259.85,223.14
13121,210.14,260.69,223.8
13301,211.05,261.94,224.79
13421,211.67,262.77,225.46
13541,212.28,263.6,226.13
13721,213.21,264.85,227.14
13841,213.83,265.68,227.82
14021,214.76,266.93,228.84
14141,215.39,267.76,229.53
14261,216.02,268.59,230.21
14400,216.75,269.56,231.01
