Time (s),T_outer (C),T_inner (C),T_ave (C)
153.16,216.44,212.42,216.08
289.61,216.44,213.77,215.93
439.61,216.44,219.62,216.37
579.61,216.43,228.54,217.42
729.61,216.42,233.59,218.56
869.61,216.41,238.79,219.63
1009.6,216.42,244.75,220.94
1159.6,216.45,240.21,221.46
1305.1,216.53,245.27,222.23
1445.1,216.66,252.37,223.62
1585.1,216.84,255.63,224.82
1735.1,217.08,257.52,225.95
1875.1,217.36,259.02,226.9
2025.1,217.71,261.8,227.93
2165.1,218.09,270.71,229.51
2305.1,218.52,272.78,230.92
2455.1,219.02,275,232.12
2595.1,219.54,281.77,233.72
2745.1,220.14,283,235.16
2885.1,220.75,290.07,236.74
3025.1,221.41,300.05,239.02
3175.1,222.16,302.76,240.99
3315.1,222.92,306.41,242.75
3465.1,223.78,311.33,244.66
3605.1,224.65,316.58,246.62
3745.1,225.57,312.76,247.88
3895.1,226.62,313.18,249.1
4035.1,227.66,317.33,250.6
4185.1,228.82,325.37,252.72
4325.1,229.94,328.6,254.62
4465.1,231.1,333.69,256.53
4615.1,232.37,341.8,259.04
4755.1,233.58,343,260.98
4905.1,234.93,347.83,263.13
5045.1,236.21,353.74,265.36
5185.1,237.53,359.16,267.61
5335.1,238.98,362.67,269.92
5475.1,240.38,363.13,271.83
5625.1,241.93,362.15,273.49
5765.1,243.41,366.75,275.39
5905.1,244.94,373.88,277.65
6055.1,246.61,379.86,280.28
6195.1,248.2,380.85,282.32
6345.1,249.93,381.64,284.33
6485.1,251.57,388.34,286.52
6625.1,253.23,397.08,289.28
6775.1,255.02,394.39,291.29
6915.1,256.7,401.96,293.57
7065.1,258.54,408.79,296.42
7205.1,260.29,409.7,298.64
7345.1,262.05,402.03,299.99
7495.1,263.98,396.64,301.07
7635.1,265.81,394.41,302.12
7785.1,267.8,395.77,303.57
7925.1,269.66,392.68,304.68
8065.1,271.52,390.13,305.62
8215.1,273.48,387.93,306.65
8355.1,275.29,375.98,306.71
8505.1,277.19,372.66,306.86
8645.1,278.93,372.07,307.47
8785.1,280.62,367.64,307.79
8935.1,282.37,361.28,307.85
9075.1,283.93,355.08,307.7
9225.1,285.5,349.59,307.44
9365.1,286.88,350.8,307.71
9505.1,288.18,345.18,307.69
9655.1,289.51,339.14,307.26
9795.1,290.67,338.21,307.22
9945.1,291.84,331.17,306.8
10085,292.86,330.53,306.54
10225,293.82,332.81,306.85
10375,294.76,327.26,306.64
10515,295.58,323.17,306.28
10665,296.39,319.83,305.89
10805,297.08,317.37,305.58
10945,297.72,305.83,304.51
11095,298.33,297.98,303.13
11235,298.86,294.42,302.12
11385,299.36,294.18,301.45
11525,299.76,289.69,300.66
11665,300.1,287.07,299.81
11815,300.38,286.9,299.26
11955,300.58,280.38,298.29
12105,300.71,276.94,297.23
12245,300.78,275.09,296.43
12385,300.79,272.79,295.62
12535,300.75,268.02,294.55
12675,300.65,260.76,293.23
12825,300.5,251.51,291.29
12965,300.31,248.38,289.8
13105,300.07,247.78,288.6
13255,299.75,245.48,287.46
13395,299.39,238.74,285.9
13545,298.94,231.25,283.99
13685,298.46,230.22,282.45
13825,297.92,231.18,281.49
13975,297.29,220.22,279.47
14115,296.65,220.06,277.91
14265,295.9,218.6,276.62
14400,295.17,212.3,274.89
