Time (s),T_outer (C),T_inner (C),T_ave (C)
170,125.0,127.28,125.31
320,125.0,129.33,125.7
470,125.01,131.38,126.16
620,125.02,133.44,126.66
720,125.03,134.82,127.03
870,125.07,136.88,127.6
1020,125.14,138.94,128.21
1170,125.23,141.0,128.85
1320,125.35,143.07,129.52
1470,125.5,145.13,130.22
1620,125.69,147.2,130.95
1770,125.91,149.26,131.71
1920,126.16,149.73,132.29
2020,126.35,149.75,132.59
2170,126.66,149.76,133.0
2320,127.0,149.77,133.37
2470,127.37,149.78,133.72
2620,127.75,149.79,134.05
2770,128.14,149.79,134.37
2920,128.54,149.8,134.68
3070,128.94,149.8,134.97
3170,129.21,149.81,135.17
3320,129.61,149.81,135.45
3470,130.01,149.82,135.73
3620,130.4,149.82,136.0
3770,130.79,149.82,136.26
3920,131.17,149.83,136.52
4070,131.55,149.83,136.77
4220,131.91,149.83,137.02
4320,132.16,149.84,137.18
4470,132.51,149.84,137.42
4620,132.87,149.84,137.66
4770,133.21,149.85,137.89
4920,133.55,149.85,138.11
5070,133.88,149.85,138.33
5220,134.2,149.86,138.55
5370,134.52,149.86,138.76
5520,134.83,149.86,138.97
5620,135.03,149.86,139.11
5770,135.34,149.87,139.31
5920,135.63,149.87,139.51
6070,135.92,149.87,139.71
6220,136.2,149.87,139.9
6370,136.48,149.88,140.09
6520,136.75,149.88,140.27
6670,137.02,149.88,140.45
6770,137.19,149.88,140.57
6920,137.45,149.89,140.75
7070,137.7,149.89,140.92
7220,137.95,149.63,141.06
7370,138.19,147.61,140.94
7520,138.43,145.57,140.71
7670,138.66,143.51,140.42
7820,138.87,141.46,140.07
7920,139.01,140.09,139.81
8070,139.19,138.03,139.39
8220,139.34,135.97,138.93
8370,139.46,133.91,138.44
8520,139.55,131.84,137.91
8670,139.6,129.78,137.35
8820,139.61,127.72,136.76
8970,139.59,125.65,136.14
9120,139.52,125.18,135.69
9220,139.46,125.17,135.48
9370,139.33,125.16,135.2
9520,139.18,125.15,134.95
9670,138.99,125.14,134.73
9820,138.78,125.14,134.52
9970,138.56,125.13,134.32
10120,138.33,125.13,134.13
10270,138.09,125.13,133.95
10370,137.93,125.12,133.83
10520,137.68,125.12,133.66
10670,137.44,125.12,133.49
10820,137.2,125.11,133.33
10970,136.96,125.11,133.17
11120,136.73,125.11,133.02
11270,136.49,125.11,132.87
11420,136.27,125.11,132.72
11520,136.12,125.1,132.62
11670,135.89,125.1,132.48
11820,135.68,125.1,132.34
11970,135.46,125.1,132.2
12120,135.25,125.1,132.07
12270,135.05,125.09,131.94
12420,134.84,125.09,131.81
12570,134.65,125.09,131.68
12720,134.45,125.09,131.56
12820,134.32,125.09,131.47
12970,134.14,125.09,131.35
13120,133.95,125.08,131.23
13270,133.77,125.08,131.12
13420,133.6,125.08,131.0
13570,133.42,125.08,130.89
13720,133.25,125.08,130.78
13870,133.09,125.08,130.67
13970,132.98,125.07,130.6
14120,132.82,125.07,130.5
14270,132.66,125.07,130.4
14400,132.53,125.07,130.31
