Time (s),T_outer (C),T_inner (C),T_ave (C)
178.72,300.0,299.99,299.99
291.44,300.0,300.36,300.02
471.44,300.0,300.83,300.08
591.44,300.0,301.35,300.16
771.44,300.0,302.04,300.27
891.44,300.0,302.79,300.41
1011.4,300.0,303.65,300.57
1191.4,300.01,304.79,300.78
1311.4,300.02,306.05,301.02
1491.4,300.03,307.61,301.33
1611.4,300.05,309.31,301.68
1731.4,300.08,311.39,302.1
1911.4,300.12,313.94,302.62
2031.4,300.16,316.64,303.2
2211.4,300.23,320.09,303.94
2331.4,300.31,323.84,304.74
2451.4,300.41,328.01,305.65
2631.4,300.53,333.03,306.79
2751.4,300.68,338.53,308.02
2931.4,300.87,344.99,309.51
3051.4,301.08,351.53,311.03
3171.4,301.32,358.76,312.76
3351.4,301.64,367.11,314.8
3471.4,301.98,375.31,316.89
3651.4,302.42,384.48,319.33
3771.4,302.88,393.4,321.73
3891.4,303.41,402.35,324.25
4071.4,304.06,411.94,327.09
4191.4,304.75,420.75,329.86
4371.4,305.58,429.78,332.9
4491.4,306.44,437.87,335.76
4611.4,307.39,445.56,338.62
4791.4,308.51,453.0,341.68
4911.4,309.65,459.38,344.53
5091.4,310.97,465.63,347.55
5211.4,312.3,470.87,350.31
5331.4,313.71,475.38,353.01
5511.4,315.32,479.72,355.84
5631.4,316.88,483.34,358.4
5811.4,318.64,486.58,361.03
5931.4,320.34,489.19,363.42
6051.4,322.11,491.49,365.73
6231.4,324.05,493.62,368.13
6351.4,325.92,495.22,370.3
6531.4,327.96,496.73,372.55
6651.4,329.91,497.94,374.6
6771.4,331.88,498.95,376.59
6951.4,334.02,499.86,378.66
7071.4,336.04,500.6,380.54
7251.4,338.22,501.22,382.51
7371.4,340.25,500.65,384.21
7491.4,342.3,499.97,385.82
7671.4,344.48,499.11,387.46
7791.4,346.52,498.16,388.92
7971.4,348.69,496.91,390.4
8091.4,350.71,495.54,391.7
8211.4,352.7,493.99,392.93
8391.4,354.82,491.93,394.14
8511.4,356.78,489.68,395.18
8691.4,358.77,486.92,396.19
8811.4,360.56,483.95,397.01
8931.4,362.32,480.41,397.69
9111.4,364.18,476.13,398.27
9231.4,365.87,471.67,398.65
9411.4,367.65,466.13,398.88
9531.4,369.27,460.3,398.91
9651.4,370.85,453.98,398.77
9831.4,372.48,446.59,398.41
9951.4,373.93,438.94,397.87
10131.0,375.42,430.32,397.08
10251.0,376.74,421.91,396.15
10371.0,378.0,413.13,395.05
10551.0,379.26,403.56,393.69
10671.0,380.35,394.61,392.27
10851.0,381.43,385.09,390.62
10971.0,382.34,376.53,388.99
11091.0,383.15,368.32,387.28
11271.0,383.91,359.94,385.4
11391.0,384.52,352.7,383.61
11571.0,385.04,345.66,381.68
11691.0,385.43,339.64,379.89
11811.0,385.7,334.11,378.15
11991.0,385.88,329.04,376.34
12111.0,385.94,324.83,374.7
12291.0,385.88,320.82,373.01
12411.0,385.73,317.56,371.5
12531.0,385.49,314.83,370.06
12711.0,385.14,312.25,368.58
12831.0,384.73,310.15,367.26
13011.0,384.21,308.31,365.87
13131.0,383.65,306.85,364.62
13251.0,383.03,305.56,363.43
13431.0,382.31,304.39,362.21
13551.0,381.58,303.51,361.12
13731.0,380.76,302.69,360.0
13851.0,379.95,302.04,359.0
13971.0,379.12,301.49,358.03
14151.0,378.19,301.01,357.03
14271.0,377.31,300.62,356.12
14400.0,376.4,300.28,355.23
